point_of_sale_id,address,geo_zone
4,"Av. Caseros 2000, Buenos Aires, Argentina",Buenos Aires
5,"Avenida Eduardo Madero 1180, Buenos Aires, Argentina",Buenos Aires
10,"Avenida Díaz Vélez 3000, Buenos Aires, Argentina",Buenos Aires
11,"Corrientes y Callao, Avenida Callao, C1022AAE, Buenos Aires, Argentina",Buenos Aires
12,"Avenida del Libertador 7820, Buenos Aires, Argentina",Buenos Aires
13,"Torre Macro, Avenida Eduardo Madero, ACY, Buenos Aires, Argentina",Buenos Aires
14,"Av. Caseros 2980, Buenos Aires, Argentina",Buenos Aires
15,"Av. Caseros 2657, AAG, Buenos Aires, Argentina",Buenos Aires
16,"Av. Caseros 1902, Buenos Aires, Argentina",Buenos Aires
17,"Av. Caseros 2032, AAN, Buenos Aires, Argentina",Buenos Aires
18,"Av. Rivadavia 5892, Buenos Aires, Argentina",Buenos Aires
19,"Av. Del Libertador Gral. San Martín 420, Buenos Aires, Argentina",Buenos Aires
20,"CHU, Avenida Hipólito Yrigoyen 3636, San Fernando, Buenos Aires Province, Argentina",Buenos Aires Province
21,"José Pedro Varela 4720, Buenos Aires, Argentina",Buenos Aires
22,"Jerónimo Salguero 3172, Buenos Aires, Argentina",Buenos Aires
23,"Avenida General Las Heras 2991, Buenos Aires, Argentina",Buenos Aires
24,"Av. La Plata 2501, Buenos Aires, Argentina",Buenos Aires
25,"Av. Rivadavia 2463, ACD, Buenos Aires, Argentina",Buenos Aires
26,"Av. Scalabrini Ortiz 361, Buenos Aires, Argentina",Buenos Aires
27,"Av. Santa Fe 4228, BHR, CABA, Argentina",CABA
28,"Av. Rivadavia 5444, CEW, CABA, Argentina",CABA
29,"Paso 123, Buenos Aires, Argentina",Buenos Aires
30,"Avenida Nazca 1120, Buenos Aires, Argentina",Buenos Aires
31,"Avenida Cordoba 3199, AAF, Buenos Aires, Argentina",Buenos Aires
32,"Avellaneda 469, Buenos Aires, Argentina",Buenos Aires
33,"Avenida Rivadavia 11552, Buenos Aires, Argentina",Buenos Aires
34,"Av. Rivadavia 18161, Morón, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
35,"Gral. Alvear 1999, Don Torcuato, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
36,"Avenida Maipú 918, Vicente López, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
37,"Adolfo Alsina 1801, AAA, Buenos Aires, Argentina",Buenos Aires
38,"Humberto Primo 434, ACJ, Buenos Aires, Argentina",Buenos Aires
39,"Av. Sta Fe 2013, IFH, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
40,"Avenida Entre Ríos 205, Buenos Aires, Argentina",Buenos Aires
41,"Av. del Libertador 14995, San Isidro, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
42,"Av. Córdoba 2639, Buenos Aires, Argentina",Buenos Aires
43,"Avenida Santa María de las Conchas 4793, Rincón de Milberg, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
44,"Blanco Encalada 1609, Buenos Aires, Argentina",Buenos Aires
45,"Avenida Corrientes 1880, AAN, Buenos Aires, Argentina",Buenos Aires
46,"Avenida Francisco Beiró 5800, Buenos Aires, Argentina",Buenos Aires
47,"Av. Córdoba 1402, Buenos Aires, Argentina",Buenos Aires
48,"Avenida Presidente Doctor Arturo U. Illia 2251, San Justo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
49,"San Lorenzo 3773, San Martín, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
50,"3 de Febrero 2550, Caseros, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
51,"Av. Corrientes 901, Buenos Aires, Argentina",Buenos Aires
52,"Carlos Pellegrini 559, Buenos Aires, Argentina",Buenos Aires
53,"Esmeralda 599, ABC, Buenos Aires, Argentina",Buenos Aires
54,"Lavalle 646, AAN, Buenos Aires, Argentina",Buenos Aires
55,"Carlos Pellegrini 423, Buenos Aires, Argentina",Buenos Aires
56,"Viamonte 891, ABQ, Buenos Aires, Argentina",Buenos Aires
57,"San Martín de Tours 2976, Buenos Aires, Argentina",Buenos Aires
58,"Av. Andrés Rolón 138, San Isidro, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
59,"República Oriental del Uruguay 265, Morón, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
60,"Av. de Mayo 427, Ramos Mejía, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
61,"Buenos Aires 559, Castelar, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
62,"Av. Rivadavia 18199, Morón, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
63,"Av. del Libertador 788, Merlo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
64,"Av. Rivadavia 17837, Morón, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
65,"Av. del Libertador 362, Merlo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
66,"Caseros 2, Haedo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
67,"Córdoba 303, Morón, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
68,"MCG, General las Heras 381, Ituzaingó, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
69,"Farmacias Central Oeste - Leloir, Avenida Presidente Perón 8505, Udaondo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
70,"Almirante Guillermo Brown 701, Morón, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
71,"25 de Mayo 139, Morón, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
72,"Independencia 165, Morón, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
73,"FUA, Pedro Noguera 23, San Antonio de Padua, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
74,"Av. Rivadavia 14002, Ramos Mejía, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
75,"Av. de Mayo 899, Ramos Mejía, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
76,"Gobernador Inocencio Arias 2408, Castelar, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
77,"Avenida Presidente Doctor Arturo U. Illia 2302, San Justo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
78,"Av. Pte. J. D. Perón 1702, San Miguel, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
79,"Gral. Machado 3575, Castelar, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
80,"Gdor. Marcelino Ugarte 3311, Olivos, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
81,"Av. Federico Lacroze 2278, Buenos Aires, Argentina",Buenos Aires
82,"Bonpland 1631, Buenos Aires, Argentina",Buenos Aires
83,"Bonpland 1643, CMS, Buenos Aires, Argentina",Buenos Aires
84,"Av. Santa Fe 4024, Buenos Aires, Argentina",Buenos Aires
85,"Domingo Faustino Sarmiento 1610, San Miguel, Buenos Aires, Argentina",Buenos Aires
86,"Av. Victorica 763, Moreno, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
87,"Av. Bartolomé Mitre 2693, Moreno, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
88,"Av. de los Lagos 7010, Rincón de Milberg, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
89,"Dip. M Pedrera 1026, Valentín Alsina, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
90,"General Belgrano 396, Campana, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
91,"Av. Montes de Oca 1229, Buenos Aires, Argentina",Buenos Aires
92,"Av. Cabildo 2171, Buenos Aires, Argentina",Buenos Aires
93,"Av. Crámer 1965, Buenos Aires, Argentina",Buenos Aires
94,"Av. Congreso 2486, BVL, Buenos Aires, Argentina",Buenos Aires
95,"Perú 503, Merlo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
96,"Riobamba 781, Merlo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
97,"Av. Agustín M. García 8450, Benavidez, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
98,"Doctor Gabriel Ardoino 640, Ramos Mejía, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
99,"LTO, Avenida José Equiza 4171, González Catán, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
100,"Av. Rivadavia 13236, Ramos Mejía, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
101,"Simón Pérez 4780, González Catán, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
102,"Rivadavia 3158, Saladillo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
103,"Paraná 6400, Villa Adelina, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
104,"Av. Dr. Ricardo Balbín 4955, Buenos Aires, Argentina",Buenos Aires
105,"Av. Dr. Ricardo Balbín 4955, Buenos Aires, Argentina",Buenos Aires
106,"APV, Icalma 7648, González Catán, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
107,"Avenida Presidente Juan Domingo Perón 23870, San Antonio de Padua, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
108,"Don Luis Posamay 894, González Catán, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
109,"Av. de Mayo 1212, Ramos Mejía, Cdad. Autónoma de Buenos Aires, Argentina",Cdad. Autónoma de Buenos Aires
110,"Calle 27 548, Mercedes, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
111,"Avenida Coronel Escalada 1200, General Pacheco, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
112,"Santa Bárbara, Corredor Bancalari - Benavidez 3901, Los Troncos del Talar, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
113,"Crisólogo Larralde 3195, Buenos Aires, Argentina",Buenos Aires
114,"Olavarría 443, La Boca, CABA, Argentina",CABA
115,"Fray Justo Santa María de Oro 3018, Palermo, FOV, Buenos Aires, Argentina",Buenos Aires
116,"Sarmiento 695, General Rodríguez, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
117,"Avenida la Aviación 991, Longchamps, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
118,"Nicolás Avellaneda 74, Ezeiza, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
119,"Avenida Sarmiento 423, San Vicente, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
120,"Las Hortensias 305, Tristán Suárez, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
121,"Av. Gaona & Alejandro Graham Bell, Paso del Rey, Moreno, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
122,"Avenida Juramento 2484, Buenos Aires, Argentina",Buenos Aires
123,"Avenida 9 de Julio 2501, Lanús, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
124,"Maipú 401, Banfield, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
125,"Av. Alsina 390, Banfield, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
126,"Int. Manuel Quindimil 1396, Lanús, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
127,"Av. Hipólito Yrigoyen 10583, Temperley, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
128,"Avenida Almirante Brown 2748, Temperley, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
129,"Jorge Santiago Bynnon 3185, José Marmol, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
130,"Av. Independencia 111, Alejandro Korn, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
131,"Av. Libertad 1630, Cañuelas, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
132,"Avenida San Martin 601, San Miguel del Monte, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
133,"Leandro N. Alem 966, Cañuelas, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
134,"Boulevard Buenos Aires 1024, Luis Guillon, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
135,"Gral. Rodríguez 129, Monte Grande, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
136,"Nuestras Malvinas 450, Monte Grande, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
137,"Av. Hipólito Yrigoyen 261, Avellaneda, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
138,"Sargento Cabral 1953, Canning, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
139,"Av. Mariano Castex 1621, Canning, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
140,"Av. Crisólogo Larralde 524, Guernica, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
141,"Av. Eva Perón 1216, Temperley, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
142,"Presidente Néstor Kirchner 9962, Carlos Spegazzini, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
143,"Avenida Monroe 5099, Villa Urquiza, CABA, Argentina",CABA
144,"Presidente Hipólito Yrigoyen 2155, Florida, Vicente López, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
145,"Avenida Brasil 800, San Telmo, CABA, Argentina",CABA
146,"Manuela Pedraza 2044, Buenos Aires, Argentina",Buenos Aires
147,"Av. Luro 6405, Gregorio de Laferrere, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
148,"Spiro 3978, Gregorio de Laferrere, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
149,"Azul 123, Buenos Aires, Argentina",Buenos Aires
150,"Tte. Gral. Juan Domingo Perón 3734, Almagro, AAT, Buenos Aires, Argentina",Buenos Aires
151,"Avenida Santa Fe 4288, Palermo, BHR, Buenos Aires, Argentina",Buenos Aires
152,"25 de Mayo 222, Buenos Aires, Argentina",Buenos Aires
153,"Av. de Mayo 675, Buenos Aires, Argentina",Buenos Aires
154,"Uruguay 479, Buenos Aires, Argentina",Buenos Aires
155,"Reconquista 1015, Buenos Aires, Argentina",Buenos Aires
156,"Av. Córdoba 533, Buenos Aires, Argentina",Buenos Aires
157,"Av. Gral. Las Heras 2273, Buenos Aires, Argentina",Buenos Aires
158,"Maure 1732, Buenos Aires, Argentina",Buenos Aires
159,"José Andrés Pacheco de Melo 2402, Buenos Aires, Argentina",Buenos Aires
160,"Av. Pueyrredón 1428, Buenos Aires, Argentina",Buenos Aires
161,"Av. Pueyrredón 1673, Buenos Aires, Argentina",Buenos Aires
162,"Av. Córdoba 2501, Buenos Aires, Argentina",Buenos Aires
163,"Av. Cabildo 3834, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
164,"Av. Cabildo 2540, AAU, Buenos Aires, Argentina",Buenos Aires
165,"Av. Cabildo 1566, Buenos Aires, Argentina",Buenos Aires
166,"Avenida Juramento 2741, Buenos Aires, Argentina",Buenos Aires
167,"Av. Cabildo 2178, Buenos Aires, Argentina",Buenos Aires
168,"Echeverría 3187, Buenos Aires, Argentina",Buenos Aires
169,"Av. Rivadavia 5014, Buenos Aires, Argentina",Buenos Aires
170,"Av. José María Moreno 99, Buenos Aires, Argentina",Buenos Aires
171,"Av. Rivadavia 4718, Buenos Aires, Argentina",Buenos Aires
172,"Av. Rivadavia 6854, Marcos Paz, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
173,"Nazca 2301, ASZ, Buenos Aires, Argentina",Buenos Aires
174,"Cuenca 3190, Buenos Aires, Argentina",Buenos Aires
175,"Av. Francisco Beiró 5402, Buenos Aires, Argentina",Buenos Aires
176,"Av Triunvirato 4602, Buenos Aires, Argentina",Buenos Aires
177,"Av Triunvirato 3749, Buenos Aires, Argentina",Buenos Aires
178,"Av Triunvirato 4499, Buenos Aires, Argentina",Buenos Aires
179,"Av. Sáenz 1187, Buenos Aires, Argentina",Buenos Aires
180,"Av. Sucre 2143, Béccar, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
181,"Av. Diego Carman 621, Martínez, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
182,"Av. Centenario 888, San Isidro, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
183,"Avenida 14 Presidente Juan Domingo Perón 4998, Berazategui, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
184,"Diagonal Lisandro de la Torre 1596, Berazategui, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
185,"Alsina 127, Quilmes, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
186,"Florida 783, AAO, Buenos Aires, Argentina",Buenos Aires
187,"Av. Corrientes 3247, Buenos Aires, Argentina",Buenos Aires
188,"Av. Caseros 2827, Buenos Aires, Argentina",Buenos Aires
189,"Av. San Martín 598, General Rodríguez, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
190,"CHI, Av. Eva Perón 4321, Merlo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
191,"Calle Di Marco 1615, General Rodríguez, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
192,"San Martín 246, Luján, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
193,"Av. Eva Perón 7485, Merlo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
194,"Carlos Pellegrini 431, Ramos Mejía, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
195,"Rivadavia 1052, San Luis, Argentina",San Luis
196,"Boulogne Sur Mer 1634, Villa Madero, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
197,"CAR, Avenida Centenario 448, San Isidro, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
198,"Venezuela 2602, San Justo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
199,"Soberania Nacional 3808, Gregorio de Laferrere, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
200,"CBC, Avenida Crovara 801, La Tablada, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
201,"Avenida Luro 5527, Gregorio de Laferrere, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
202,"Av. Simón Bolívar 301, Tandil, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
203,"Avenida Cabildo 2779, Buenos Aires, Argentina",Buenos Aires
204,"Ricardo Gutiérrez 1202, Olivos, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
205,"Belgrano 135, San Isidro, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
206,"Comuna 11, Cuenca 2719, Buenos Aires, Argentina",Buenos Aires
207,"Uriburu 1223, AAI, Buenos Aires, Argentina",Buenos Aires
208,"Avenida José María Moreno 245, AAP, Buenos Aires, Argentina",Buenos Aires
209,"Uruguay 1272, Buenos Aires, Argentina",Buenos Aires
210,"Manuel Gómez Fretes 4206, Merlo, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
211,"Av. Las Heras 2002, AAP, Buenos Aires, Argentina",Buenos Aires
212,"Virrey Avilés 3371, Buenos Aires, Argentina",Buenos Aires
213,"Av. Cazón 1550, Tigre, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
214,"Av. Boedo 783, Buenos Aires, Argentina",Buenos Aires
215,"Av. San Juan 3668, Buenos Aires, Argentina",Buenos Aires
216,"Av. Boedo 937, Buenos Aires, Argentina",Buenos Aires
217,"Avenida Corrientes 1499, Buenos Aires, Argentina",Buenos Aires
218,"Ruta V50 1150 3 no, General Pacheco, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
219,"Avenida Santa Fe 3709, Buenos Aires, Argentina",Buenos Aires
220,"Belgrano 3202, San Martín, Provincia de Buenos Aires, Argentina",Provincia de Buenos Aires
