point_of_sale_id,super_catalog_id,order_id,order_date,droguería,unidades_pedidas,precio_minimo,valor_vendedor,geo_zone,vendor_id,name,base_price,percentage,precio_vendedor,precio_total_vendedor,status,valor_total_vendedor
2432,7501871730155,265463,2025-03-21 03:11:38,12,2.0,1900.5,3801.0,Baja California,1156,México,1819.63,0.0,1819.63,3639.26,,3639.26
1446,4260095689368,265839,2025-03-21 23:40:40,11,1.0,1741.93,1741.93,Baja California,1156,México,1687.73,0.0,1687.73,1687.73,,1687.73
2432,7501390913862,265463,2025-03-21 03:11:38,12,2.0,650.3,1300.6,Baja California,1156,México,631.4,0.0,631.4,1262.8,,1262.8
1446,7841141002712,272156,2025-04-07 23:52:42,11,1.0,1044.21,1044.21,Baja California,1156,México,1032.44,0.0,1032.44,1032.44,,1032.44
2432,7501390913442,264771,2025-03-20 02:02:46,12,1.0,905.8,905.8,Baja California,1156,México,879.2,0.0,879.2,879.2,,879.2
2432,7501314705832,262896,2025-03-15 03:20:13,12,1.0,717.05,717.05,Baja California,1156,México,690.0,0.0,690.0,690.0,,690.0
1446,7501101600562,272156,2025-04-07 23:52:42,11,1.0,610.7,610.7,Baja California,1156,México,575.98,0.0,575.98,575.98,,575.98
1446,714706910906,265839,2025-03-21 23:40:40,11,1.0,28.8,28.8,Baja California,1150,México,26.7,-0.1,26.673299999999998,26.673299999999998,,26.673299999999998
1446,7506022322395,260151,2025-03-08 23:34:14,11,1.0,11.0,11.0,Baja California,1358,México,10.53,0.0273,10.53287469,10.53287469,,10.53287469
1446,7502216808188,267549,2025-03-26 23:56:44,11,1.0,12.64,12.64,Baja California,1275,México,2.3,0.0,2.3,2.3,1.0,2.3
1101,7501098610025,262392,2025-03-14 03:27:13,11,12.0,1680.16,20161.92,Baja California Sur,1159,México,1260.688,0.0,1260.688,15128.256000000001,,15128.256000000001
1101,7503003746126,262392,2025-03-14 03:27:13,12,10.0,1542.26,15422.6,Baja California Sur,1275,México,1459.2,0.0,1459.2,14592.0,1.0,14592.0
1101,7501034692184,262413,2025-03-14 04:05:11,12,5.0,2625.96,13129.8,Baja California Sur,1159,México,2221.2724,0.0,2221.2724,11106.362,,11106.362
1101,7501070615277,262392,2025-03-14 03:27:13,12,21.0,568.06,11929.26,Baja California Sur,1153,México,380.0,0.0,380.0,7980.0,1.0,7980.0
1101,7501299307694,262392,2025-03-14 03:27:13,11,25.0,365.23,9130.75,Baja California Sur,1164,México,305.0,0.0,305.0,7625.0,,7625.0
1101,7501165001695,262392,2025-03-14 03:27:13,11,14.0,500.79,7011.06,Baja California Sur,1156,México,485.49,0.0,485.49,6796.860000000001,,6796.860000000001
